,title,seed,test_size,epochs,test_acc,train_acc
176,BasicModelSmall_256dim_0.82ts_177seed_both,177,0.82,9999,0.5771526098251343,1.0
177,BasicModelSmall_256dim_0.83ts_178seed_both,178,0.83,9999,0.6389006972312927,1.0
178,BasicModelSmall_256dim_0.84ts_179seed_both,179,0.84,9999,0.49534884095191956,1.0
179,BasicModelSmall_256dim_0.85ts_180seed_both,180,0.85,9999,0.0729253962635994,1.0
180,BasicModelSmall_256dim_0.86ts_181seed_both,181,0.86,9999,0.4119718372821808,1.0
181,BasicModelSmall_256dim_0.87ts_182seed_both,182,0.87,9999,0.0,1.0
182,BasicModelSmall_256dim_0.88ts_183seed_both,183,0.88,9999,0.00040502226329408586,1.0
183,BasicModelSmall_256dim_0.89ts_184seed_both,184,0.89,9999,0.0004001600609626621,1.0
184,BasicModelSmall_256dim_0.9ts_185seed_both,185,0.9,9999,0.0005898545496165752,1.0
185,BasicModelSmall_256dim_0.91ts_186seed_both,186,0.91,9999,0.001179245300590992,1.0
186,BasicModelSmall_256dim_0.92ts_187seed_both,187,0.92,9999,0.001351873273961246,0.9999999403953552
187,BasicModelSmall_256dim_0.93ts_188seed_both,188,0.93,9999,0.0007668711477890611,1.0
188,BasicModelSmall_256dim_0.94ts_189seed_both,189,0.94,9999,0.001896813279017806,1.0
189,BasicModelSmall_256dim_0.95ts_190seed_both,190,0.95,9999,0.003938484471291304,1.0
190,BasicModelSmall_256dim_0.01ts_191seed_both,191,0.01,9999,1.0,1.0
191,BasicModelSmall_256dim_0.02ts_192seed_both,192,0.02,9999,1.0,1.0
192,BasicModelSmall_256dim_0.03ts_193seed_both,193,0.03,9999,1.0,1.0
193,BasicModelSmall_256dim_0.04ts_194seed_both,194,0.04,9999,1.0,1.0
194,BasicModelSmall_256dim_0.05ts_195seed_both,195,0.05,9999,0.9999999403953552,1.0
195,BasicModelSmall_256dim_0.06ts_196seed_both,196,0.06,9999,1.0,0.9999999403953552
196,BasicModelSmall_256dim_0.07ts_197seed_both,197,0.07,9999,1.0,1.0
197,BasicModelSmall_256dim_0.08ts_198seed_both,198,0.08,9999,1.0,1.0
198,BasicModelSmall_256dim_0.09ts_199seed_both,199,0.09,9999,1.0,1.0
199,BasicModelSmall_256dim_0.1ts_200seed_both,200,0.1,9999,1.0,1.0
200,BasicModelSmall_256dim_0.11ts_201seed_both,201,0.11,9999,1.0,1.0
201,BasicModelSmall_256dim_0.12ts_202seed_both,202,0.12,9999,1.0,1.0
202,BasicModelSmall_256dim_0.13ts_203seed_both,203,0.13,9999,1.0,1.0
203,BasicModelSmall_256dim_0.14ts_204seed_both,204,0.14,9999,1.0,1.0
204,BasicModelSmall_256dim_0.15ts_205seed_both,205,0.15,9999,1.0,1.0
205,BasicModelSmall_256dim_0.16ts_206seed_both,206,0.16,9999,1.0,1.0
206,BasicModelSmall_256dim_0.17ts_207seed_both,207,0.17,9999,0.9999999403953552,1.0
207,BasicModelSmall_256dim_0.18ts_208seed_both,208,0.18,9999,1.0,1.0
208,BasicModelSmall_256dim_0.19ts_209seed_both,209,0.19,9999,1.0,1.0
209,BasicModelSmall_256dim_0.2ts_210seed_both,210,0.2,9999,1.0,1.0
210,BasicModelSmall_256dim_0.21ts_211seed_both,211,0.21,9999,1.0,1.0
211,BasicModelSmall_256dim_0.22ts_212seed_both,212,0.22,9999,1.0,1.0
212,BasicModelSmall_256dim_0.23ts_213seed_both,213,0.23,9999,1.0,1.0
213,BasicModelSmall_256dim_0.24ts_214seed_both,214,0.24,9999,1.0,1.0
214,BasicModelSmall_256dim_0.25ts_215seed_both,215,0.25,9999,1.0,1.0
215,BasicModelSmall_256dim_0.26ts_216seed_both,216,0.26,9999,1.0,1.0
216,BasicModelSmall_256dim_0.27ts_217seed_both,217,0.27,9999,1.0,1.0
217,BasicModelSmall_256dim_0.28ts_218seed_both,218,0.28,9999,1.0,1.0
218,BasicModelSmall_256dim_0.29ts_219seed_both,219,0.29,9999,1.0,0.9999999403953552
219,BasicModelSmall_256dim_0.3ts_220seed_both,220,0.3,9999,1.0,1.0
220,BasicModelSmall_256dim_0.31ts_221seed_both,221,0.31,9999,1.0,1.0
221,BasicModelSmall_256dim_0.32ts_222seed_both,222,0.32,9999,1.0,1.0
222,BasicModelSmall_256dim_0.33ts_223seed_both,223,0.33,9999,1.0,1.0
223,BasicModelSmall_256dim_0.34ts_224seed_both,224,0.34,9999,1.0,1.0
224,BasicModelSmall_256dim_0.35ts_225seed_both,225,0.35,9999,1.0,1.0
225,BasicModelSmall_256dim_0.36ts_226seed_both,226,0.36,9999,1.0,1.0
226,BasicModelSmall_256dim_0.37ts_227seed_both,227,0.37,9999,1.0,1.0
227,BasicModelSmall_256dim_0.38ts_228seed_both,228,0.38,9999,1.0,1.0
228,BasicModelSmall_256dim_0.39ts_229seed_both,229,0.39,9999,1.0,1.0
