,title,seed,test_size,epochs,test_apb_acc,test_amb_acc,test_acc,train_acc
96,BasicModelSmall_256dim_0.77ts_97seed_combined,97,0.77,9999,0.0014204545877873898,0.03419593349099159,0.018007483333349228,1.0
97,BasicModelSmall_256dim_0.77ts_98seed_combined,98,0.77,9999,0.0,0.03344022110104561,0.01674696058034897,1.0
98,BasicModelSmall_256dim_0.77ts_99seed_combined,99,0.77,9999,0.00047483379603363574,0.03374942019581795,0.017334269359707832,1.0
99,BasicModelSmall_256dim_0.77ts_100seed_combined,100,0.77,9999,0.0004562043759506196,0.03351698815822601,0.016933638602495193,1.0
100,BasicModelSmall_256dim_0.77ts_101seed_combined,101,0.77,9999,0.0004621072148438543,0.03346901759505272,0.017142856493592262,1.0
101,BasicModelSmall_256dim_0.78ts_102seed_combined,102,0.78,9999,0.00046104195644147694,0.03405994549393654,0.017387324944138527,1.0
102,BasicModelSmall_256dim_0.78ts_103seed_combined,103,0.78,9999,0.0,0.03471904993057251,0.01737937331199646,1.0
103,BasicModelSmall_256dim_0.78ts_104seed_combined,104,0.78,9999,0.0,0.03667595237493515,0.018007749691605568,1.0
104,BasicModelSmall_256dim_0.78ts_105seed_combined,105,0.78,9999,0.0,0.035087719559669495,0.017583409324288368,1.0
105,BasicModelSmall_256dim_0.78ts_106seed_combined,106,0.78,9999,0.0,0.03387533873319626,0.016910936683416367,1.0
106,BasicModelSmall_256dim_0.79ts_107seed_combined,107,0.79,9999,0.0004500450158957392,0.03787878528237343,0.019256604835391045,1.0
107,BasicModelSmall_256dim_0.79ts_108seed_combined,108,0.79,9999,0.0,0.03215721249580383,0.01611459255218506,1.0
108,BasicModelSmall_256dim_0.79ts_109seed_combined,109,0.79,9999,0.0,0.036970242857933044,0.018426965922117233,1.0
109,BasicModelSmall_256dim_0.79ts_110seed_combined,110,0.79,9999,0.0,0.03414195775985718,0.01699843443930149,1.0
110,BasicModelSmall_256dim_0.79ts_111seed_combined,111,0.79,9999,0.0004446420643944293,0.0340290367603302,0.01706714555621147,1.0
111,BasicModelSmall_256dim_0.8ts_112seed_combined,112,0.8,9999,0.0,0.03454384207725525,0.017271921038627625,1.0
112,BasicModelSmall_256dim_0.8ts_113seed_combined,113,0.8,9999,0.0,0.0342034213244915,0.016971861943602562,1.0
113,BasicModelSmall_256dim_0.8ts_114seed_combined,114,0.8,9999,0.0,0.03384615480899811,0.01720285974442959,1.0
114,BasicModelSmall_256dim_0.8ts_115seed_combined,115,0.8,9999,0.0,0.03158362954854965,0.01587301678955555,1.0
115,BasicModelSmall_256dim_0.8ts_116seed_combined,116,0.8,9999,0.0004378283629193902,0.031654033809900284,0.01590457186102867,1.0
116,BasicModelSmall_256dim_0.81ts_117seed_combined,117,0.81,9999,0.0,0.03455723822116852,0.01737242192029953,1.0
117,BasicModelSmall_256dim_0.81ts_118seed_combined,118,0.81,9999,0.0004422821803018451,0.03437637910246849,0.01743929274380207,1.0
118,BasicModelSmall_256dim_0.81ts_119seed_combined,119,0.81,9999,0.0,0.03483245149254799,0.01742006652057171,1.0
119,BasicModelSmall_256dim_0.81ts_120seed_combined,120,0.81,9999,0.00043271310278214514,0.03697104752063751,0.018437225371599197,1.0
120,BasicModelSmall_256dim_0.81ts_121seed_combined,121,0.81,9999,0.0004399472090881318,0.03271441161632538,0.016538036987185478,1.0
121,BasicModelSmall_256dim_0.82ts_122seed_combined,122,0.82,9999,0.0004399472090881318,0.030688295140862465,0.015590690076351166,1.0
122,BasicModelSmall_256dim_0.82ts_123seed_combined,123,0.82,9999,0.0,0.034664325416088104,0.017203832045197487,1.0
123,BasicModelSmall_256dim_0.82ts_124seed_combined,124,0.82,9999,0.0,0.035309504717588425,0.017608696594834328,1.0
