n,z,excess
44,35,-76068.035
43,36,-74442.257
42,37,-70802.985
41,38,-65476.889
40,39,-57817.833
50,30,-51648.612
49,31,-59223.667
48,32,-69535.306
47,33,-72214.493
46,34,-77759.457
45,35,-75888.993
44,36,-77893.346
43,37,-72175.467
42,38,-70311.459
41,39,-61148.152
51,30,-46199.663
50,31,-57627.954
49,32,-66291.687
48,33,-72533.304
47,34,-76388.988
46,35,-77977.034
45,36,-77696.181
44,37,-75456.670
43,38,-71528.125
42,39,-65712.912
41,40,-57460.139
52,30,-42313.954
51,31,-52930.719
50,32,-65415.067
49,33,-70105.419
48,34,-77593.882
47,35,-77498.661
46,36,-80591.78515
45,37,-76187.803
44,38,-76010.053
43,39,-68064.091
42,40,-63631.287
52,31,-49257.122
51,32,-60976.435
50,33,-69669.323
49,34,-75340.530
48,35,-79013.709
47,36,-79990.633
46,37,-79070.630
45,38,-76797.606
44,39,-72205.665
43,40,-65911.654
42,41,-57556.083
52,32,-58148.428
51,33,-65853.560
50,34,-75947.721
49,35,-77783.084
48,36,-82439.33510
47,37,-79758.964
46,38,-80649.570
45,39,-73894.431
44,40,-71421.686
43,41,-61218.717
53,32,-53123.420
52,33,-63189.144
51,34,-72413.636
50,35,-78575.469
49,36,-81480.331
48,37,-82167.33050
47,38,-81103.280
46,39,-77842.123
45,40,-73175.189
44,41,-66279.676
43,42,-57509.753
54,32,-49399.922
53,33,-58962.142
52,34,-70503.167
51,35,-75632.252
50,36,-83265.66564
49,37,-82746.993
48,38,-84523.08935
47,39,-79283.089
46,40,-77969.014
45,41,-69134.054
44,42,-64110.245
54,33,-55617.907
53,34,-66426.125
52,35,-73891.676
51,36,-80709.522
50,37,-84597.791
49,38,-84880.06595
48,39,-83018.376
47,40,-79347.137
46,41,-73874.486
45,42,-66884.808
44,43,-57690.044
54,34,-63884.195
53,35,-70715.959
52,36,-79691.286
51,37,-82608.995
50,38,-87921.61793
49,39,-84299.018
48,40,-83628.871
47,41,-76173.586
46,42,-72686.544
45,43,-61681.315
55,34,-58992.391
54,35,-68274.263
53,36,-76535.785
52,37,-81712.388
51,38,-86209.017
50,39,-87708.352
49,40,-84875.561
48,41,-80625.209
47,42,-75014.935
46,43,-67394.848
56,34,-55800.217
55,35,-64000.298
54,36,-74959.250
53,37,-79364.404
52,38,-85948.127
51,39,-86494.062
50,40,-88772.535
49,41,-82661.519
48,42,-80172.503
47,43,-70724.687
46,44,-64883.792
57,34,-50580.124
56,35,-61107.294
55,36,-70973.965
54,37,-77745.037
53,38,-83651.927
52,39,-86351.295
51,40,-87895.566
50,41,-86638.001
49,42,-82208.821
48,43,-75986.646
47,44,-68239.823
57,35,-56232.805
56,36,-68769.320
55,37,-74772.438
54,38,-82867.361
53,39,-84816.492
52,40,-88459.028
51,41,-86453.292
50,42,-86808.576
49,43,-78925.693
48,44,-74301.201
47,45,-62999.087
58,35,-52890.230
57,36,-64135.994
56,37,-72619.901
55,38,-80085.838
54,39,-84227.157
53,40,-87122.032
52,41,-87212.838
51,42,-86807.069
50,43,-83606.106
49,44,-77216.713
48,45,-69011.800
58,36,-61347.772
57,37,-68562.785
56,38,-78845.711
55,39,-82351.463
54,40,-87269.322
53,41,-86369.062
52,42,-88414.065
51,43,-84158.317
50,44,-82583.591
49,45,-72907.613
48,46,-66102.268
59,36,-56158.913
58,37,-65891.493
57,38,-75119.551
56,39,-81208.848
55,40,-85659.940
54,41,-86786.258
53,42,-87711.858
52,43,-86021.341
51,44,-83457.745
50,45,-78340.606
49,46,-69965.900
60,36,-53079.678
59,37,-61354.349
58,38,-72924.157
57,39,-78335.895
56,40,-85438.846
55,41,-85602.816
54,42,-88794.876
53,43,-85821.634
52,44,-86080.372
51,45,-79687.718
50,46,-76183.406
49,47,-64511.636
61,36,-47423.492
60,37,-58519.137
59,38,-68581.454
58,39,-76121.424
57,40,-82942.661
56,41,-85605.776
55,42,-87544.691
54,43,-87224.424
53,44,-86120.552
52,45,-82597.552
51,46,-77805.843
50,47,-70825.843
61,37,-54369.146
60,38,-66423.104
59,39,-72294.777
58,40,-81286.709
57,41,-83524.598
56,42,-88115.972
55,43,-86432.205
54,44,-88224.858
53,45,-83175.205
52,46,-81320.975
51,47,-73066.415
50,48,-67636.415
62,37,-51121.143
61,38,-62521.401
60,39,-70649.825
59,40,-77620.617
58,41,-82335.341
57,42,-85970.098
56,43,-87327.862
55,44,-87625.381
54,45,-85581.300
53,46,-82182.651
52,47,-76712.473
51,48,-69931.123
63,37,-46247.064
62,38,-59820.903
61,39,-67327.396
60,40,-76377.437
59,41,-79797.399
58,42,-86193.025
57,43,-86020.945
56,44,-89227.389
55,45,-85591.126
54,46,-85212.778
53,47,-78137.959
52,48,-74194.596
51,49,-64312.972
50,50,-57282.972
63,38,-55324.907
62,39,-65061.002
61,40,-73165.957
60,41,-78891.491
59,42,-83519.949
58,43,-86344.594
57,44,-87958.114
56,45,-87412.416
55,46,-85432.132
54,47,-81334.374
53,48,-75836.456
51,50,-60305.626
64,38,-52159.304
63,39,-61173.177
62,40,-71587.707
61,41,-76304.544
60,42,-83566.061
59,43,-84572.878
58,44,-89106.437
57,45,-86783.318
56,46,-87903.171
55,47,-82246.691
54,48,-79659.691
53,49,-70694.884
52,50,-64934.884
64,39,-58457.575
63,40,-67815.334
62,41,-75028.671
61,42,-80960.670
60,43,-84603.867
59,44,-87267.171
58,45,-88031.708
57,46,-87457.189
56,47,-84802.692
55,48,-80651.616
54,49,-74632.591
53,50,-66972.591
64,40,-65724.060
63,41,-71819.012
62,42,-80349.968
61,43,-82503.444
60,44,-88095.710
59,45,-86959.348
58,46,-89395.105
57,47,-85116.452
56,48,-83968.380
55,49,-76182.665
54,50,-71627.047
53,51,-59173.620
66,39,-51270.361
65,40,-61464.734
64,41,-69915.551
63,42,-77337.141
62,43,-82290.088
61,44,-85934.490
60,45,-87851.243
59,46,-88417.888
58,47,-87070.836
57,48,-84333.839
56,49,-79640.572
55,50,-73337.992
54,51,-64015.482
53,52,-52811.510
66,40,-58549.987
65,41,-66203.357
64,42,-76134.528
63,43,-79776.223
62,44,-86323.223
61,45,-86362.627
60,46,-89907.527
59,47,-86942.383
58,48,-87132.138
57,49,-80608.134
56,50,-77353.687
55,51,-66473.292
54,52,-58219.748
67,40,-54379.688
66,41,-63723.810
65,42,-72551.560
64,43,-78749.914
63,44,-83862.512
62,45,-86863.703
61,46,-88372.639
60,47,-88406.670
59,48,-86990.261
58,49,-83564.261
57,50,-78512.228
56,51,-70653.239
55,52,-60539.326
67,41,-59545.765
66,42,-70755.942
65,43,-75922.778
64,44,-83661.350
63,45,-85031.721
62,46,-89524.206
61,47,-87606.763
60,48,-89252.414
